id,name,primary,secondary,equipment,level,pattern,kind,is_compound,avg_sec_per_set,duration_sec,contraindications,cue,image_url
4dc51e1d-9cfc-4805-9014-6413c7ca28ba,Alongamento de latíssimo (lat stretch),costas,,,1,iso,mobilidade,false,30,,ombro,Mantenha a coluna neutra e alongue o braço acima da cabeça,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Overhead_Lat/0.jpg
97464486-fc4d-4744-b5fe-7c46bb22972d,Alongamento de trapézio,costas,,,1,iso,mobilidade,false,30,,ombro|cervical,Puxe os ombros para baixo e segure a posição,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Side_Neck_Stretch/0.jpg
8db2ff8f-6c21-4af4-a477-76feeb37017c,Barra australiana,costas,,barra-fixa,2,pull-h,treino,true,20,,ombro|lombar,Mantenha o corpo reto e puxe o peito em direção à barra,
5ed320f4-75c8-48cb-9f85-9567e42e15aa,Barra fixa fechada,costas,,barra-fixa,2,pull-v,treino,true,20,,ombro,Mantenha as mãos próximas e puxe o peito até a barra,
7aac607d-6556-4dd3-b6c5-6cfcd58d48c6,Barra fixa pegada larga,costas,,barra-fixa,2,pull-v,treino,true,20,,ombro,Abra bem as mãos e puxe usando a largura dos ombros,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Wide-Grip_Pulldown_Behind_The_Neck/0.jpg
2248610d-5290-4c28-b2a8-bfacd31f2c11,Barra fixa pronada,costas,,barra-fixa,2,pull-v,treino,true,20,,ombro,Segure a barra pronada e eleve o corpo até o queixo,
91eb3dd3-0d68-40fa-b608-2b2d708ffd4d,Barra fixa supinada,costas,,barra-fixa,2,pull-v,treino,true,20,,ombro,Segure a barra supinada e eleve o corpo até o peito,
1067599f-8754-4e6c-8156-2044ef142d33,Child's pose,costas,,,1,iso,mobilidade,false,30,,lombar|joelho,Apoie os joelhos no chão e estenda os braços à frente,
fe9db795-997c-42d2-82b2-b669ad4e9f6f,Cobra (alongamento),costas,,,1,iso,mobilidade,false,30,,lombar|punho,Eleve o peito mantendo as mãos no chão e respire fundo,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/One_Half_Locust/0.jpg
0e835e76-ee1d-4c9b-87d5-91fcd51c825d,Deadlift (CrossFit),costas,,barra,3,hinge,treino,true,30,,lombar|joelho,Mantenha a barra próxima ao corpo e levante com quadris,
ecdf45cd-c58e-4aec-89e7-6c12411c7dc6,Foam roll lombar,costas,,rolo,1,iso,mobilidade,false,30,,lombar,Role a lombar lentamente e respire de forma controlada,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Lower_Back-SMR/0.jpg
8a6997bd-f1f2-4e2e-a944-f13b299f9e8b,Levantamento terra (barra),costas,,barra,3,hinge,treino,true,30,,lombar|joelho,Abaixe o tronco mantendo a coluna reta e segure a barra,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Barbell_Deadlift/0.jpg
165305f0-bebb-4651-b702-0ea2c9d4bfbd,Muscle-up,costas,,barra-fixa,3,pull-v,treino,true,20,,ombro|punho|lombar,Puxe explosivamente e transite para a posição de dip acima da barra,
81b5bf7a-de72-4de4-a5b7-501196f01a41,Pull-down (pulley),costas,biceps,polia-alta,1,pull-v,treino,false,30,,ombro|lombar,Puxe a barra até o peito mantendo as costas retas,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Close-Grip_Front_Lat_Pulldown/0.jpg
74fee36e-70c4-4620-a9d9-5b867ea16f4d,Puxada atrás (pulley),costas,biceps,polia-alta,2,pull-v,treino,true,30,,ombro|cervical|lombar,Puxe a barra por trás da cabeça sem curvar a coluna,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Wide-Grip_Pulldown_Behind_The_Neck/0.jpg
e8db89fd-138c-4cfa-a44a-dd430a11dcdf,Puxada frontal (pulley),costas,biceps,polia-alta,2,pull-v,treino,true,30,,ombro|lombar,Puxe a barra à frente mantendo peito aberto,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Wide-Grip_Lat_Pulldown/0.jpg
54096b2b-0d3c-407f-bb6e-9bd195ebb8c3,Puxada triângulo (pulley),costas,biceps,polia-alta,2,pull-v,treino,true,30,,ombro|lombar,Puxe a corda em forma de triângulo até a altura dos ombros,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/V-Bar_Pulldown/0.jpg
4d01713b-3b01-4ebe-922c-aad62024c35b,REMADA BAIXA ABERTA,costas,biceps,mq-remada,1,pull-h,treino,false,30,,lombar|ombro,Puxe a alavanca em direção ao abdômen mantendo costas firmes,
de4a9988-978a-4d40-bc17-3a3855baa299,REMADA CURVADA PRON.,costas,biceps,mq-remada,2,pull-h,treino,false,30,,lombar|ombro,Puxe a barra da máquina com pegada pronada mantendo tronco estável,
565aef44-3008-4751-9bb0-6c50032ded5e,Remada baixa (pulley),costas,biceps,polia-baixa,1,pull-h,treino,true,30,,lombar|ombro,Puxe a barra para o tronco mantendo ombros retraídos,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Seated_Cable_Rows/0.jpg
10ceb375-2807-43b5-8f8e-97707ae526c4,Remada cavalinho,costas,biceps,barra,2,pull-h,treino,true,30,,lombar|ombro,Erga a barra em T mantendo tronco inclinado,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Bent_Over_One-Arm_Long_Bar_Row/0.jpg
916f5a08-b458-4bd0-8928-3f89554b7114,Remada curvada (barra),costas,biceps,barra,2,pull-h,treino,true,30,,lombar|ombro,Puxe a barra até o umbigo mantendo costas paralelas ao chão,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Bent_Over_Barbell_Row/0.jpg
e4c4687c-a104-44ac-879b-b43d2640fcc5,Remada curvada (halteres),costas,biceps,halter,2,pull-h,treino,true,30,,lombar|ombro,Puxe o haltere até o quadril mantendo tronco firme,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Bent_Over_Two-Dumbbell_Row/0.jpg
a8d8939a-b26e-4c4a-9b22-443a33a6eb21,Remada máquina,costas,biceps,mq-remada,1,pull-h,treino,true,30,,lombar|ombro,Puxe a alavanca até o peito mantendo postura ereta,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Seated_Cable_Rows/0.jpg
5f525f4c-533e-43f9-ad99-52a6a3e91957,Remada unilateral (halter),costas,biceps,halter|banco,2,pull-h,treino,true,30,,lombar|ombro,Puxe o haltere com um braço apoiado no banco,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/One-Arm_Dumbbell_Row/0.jpg
4004783e-3364-4078-a7b9-44a314a082e6,Spinal twist deitado,costas,core,,1,core,mobilidade,false,20,,lombar|cervical,Gire o tronco deitado mantendo ombros no chão,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Lying_Crossover/0.jpg
4097b6d4-1973-40f3-96bb-1f518ced7066,Spinal twist sentado,costas,core,,1,core,mobilidade,false,20,,lombar|cervical,Gire o tronco sentado mantendo coluna ereta,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Spinal_Stretch/0.jpg
ae0672c4-cf04-41f5-8217-b97861c530a5,Sumô deadlift high pull,costas,pernas|gluteos|core,barra,3,hinge,treino,true,35,,joelho|lombar|ombro,Levante a barra com pernas afastadas e puxe até a altura dos ombros,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Sumo_Deadlift_with_Bands/0.jpg
0562ee41-978a-401d-b85f-1989a434bf40,Thread the needle,costas,,,1,iso,mobilidade,false,30,,ombro|lombar|cervical,Desliza o braço entre as pernas mantendo o tronco firme,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Side-Lying_Floor_Stretch/0.jpg
7eba45bd-2a4d-462d-b232-c120822d23b5,Alongamento de antebraço (extensor),biceps,,,1,iso,mobilidade,false,20,,punho,Estende o braço e puxa os dedos para baixo,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Kneeling_Forearm_Stretch/0.jpg
8bc054ab-3020-4014-ae76-819038f04248,Alongamento de antebraço (flexor),biceps,,,1,iso,mobilidade,false,20,,punho,Flexiona o cotovelo e puxa a mão em direção ao antebraço,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Kneeling_Forearm_Stretch/0.jpg
147c62bf-0f75-4602-a81a-3adc48504eeb,Alongamento de bíceps na parede,biceps,,,1,iso,mobilidade,false,25,,ombro|punho,Apoia a palma na parede e gira o corpo afastando o braço,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Standing_Biceps_Stretch/0.jpg
06870368-7b0f-47ef-9fbc-f009505f6f62,ROSCA DIRETA POLIA,biceps,,polia-baixa,2,pull-h,treino,false,40,,punho,Mantém os cotovelos fixos e puxa a barra em direção ao peito,
fbb00793-d53d-48b3-bf24-79e7fadcbfea,Rosca 21 (barra),biceps,,barra,2,pull-h,treino,false,45,,punho,Executa 7 repes de 0‑30° 7 de 30‑60° 7 de 60‑90°,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Barbell_Curl/0.jpg
09c2e932-5972-4a50-b6dc-ea64c37fa68d,Rosca Scott (barra),biceps,,barra|banco-scott,2,pull-h,treino,false,40,,punho,Apoia os braços no apoio e eleva a barra sem balançar,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Preacher_Curl/0.jpg
8cc0b11b-2038-49d9-9bae-9c937fd4ec89,Rosca Scott (halter),biceps,,halter|banco-scott,2,pull-h,treino,false,40,,punho,Segura o halter com pegada neutra e levanta controlado,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Preacher_Hammer_Dumbbell_Curl/0.jpg
8879c535-21e5-4464-ab37-6a6f6decac40,Rosca alternada (halteres),biceps,,halter,2,pull-h,treino,false,45,,punho,Alterna os braços mantendo o tronco estável,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Seated_Dumbbell_Curl/0.jpg
c310721e-2893-4c18-81e1-898f6ed274d2,Rosca concentrada (halter),biceps,,halter|banco,2,pull-h,treino,false,40,,punho,Apoia o braço na coxa e levanta o halter lentamente,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Concentration_Curls/0.jpg
217a670f-1b8a-41c7-b054-c0aff1466065,Rosca direta (W),biceps,,barra,2,pull-h,treino,false,45,,punho,Segura a barra em pegada supinada e eleva sem balançar,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/EZ-Bar_Curl/0.jpg
24b0b894-3d42-427f-b900-9bc821004b15,Rosca direta (barra),biceps,,barra,2,pull-h,treino,false,45,,punho,Segura a barra em pegada supinada e eleva sem balançar,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Barbell_Curl/0.jpg
ee7ed537-b597-4181-b736-2af73bdf262b,Rosca direta (halteres),biceps,,halter,2,pull-h,treino,false,45,,punho,Segura o halter com pegada supinada e eleva controlado,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Dumbbell_Bicep_Curl/0.jpg
2d4d5675-1085-4409-b039-c4bb989c6852,Rosca martelo (halteres),biceps,,halter,2,pull-h,treino,false,45,,punho,Mantém pegada neutra e levanta o halter ao lado do corpo,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Hammer_Curls/0.jpg
97ba757c-6baf-44f1-96be-b8c70088d3e6,Rosca no cabo (pulley),biceps,,polia-baixa,2,pull-h,treino,false,40,,punho,Puxa a alça mantendo os cotovelos fixos ao lado,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Cable_Preacher_Curl/0.jpg
521c84a8-d1ca-49d8-bb7f-a14347d8103d,Alongamento de peito no batente,peito,,,1,iso,mobilidade,false,30,,ombro,Estenda os braços contra o batente sentindo alongamento no peito,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/One_Arm_Against_Wall/0.jpg
927f9975-a129-4319-9db5-f20e81895eb0,Alongamento de peito no chão (cruz),peito,,,1,iso,mobilidade,false,30,,ombro,Deite-se com os braços abertos em cruz palmas para cima sentindo o alongamento no peito,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Chest_And_Front_Of_Shoulder_Stretch/0.jpg
ec6cd0e1-492a-40dd-9040-5491a69af5da,Crossover alto (cabos),peito,,crossover,2,push-h,treino,false,30,,ombro,Ajuste a altura e puxe a alça mantendo os cotovelos levemente dobrados,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Cable_Crossover/0.jpg
ea503f84-3f35-487d-ac7f-8817fb3e06bc,Crossover baixo (cabos),peito,,crossover,1,push-h,treino,false,30,,ombro,Mantenha os cotovelos levemente dobrados ao puxar o cabo,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Low_Cable_Crossover/0.jpg
5bf4046e-2cc1-4785-b589-a7c7b0ae7b3b,Crucifixo inclinado (halteres),peito,,halter|banco-incl,1,push-h,treino,false,30,,ombro,Execute o movimento controlado foco no peito,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Incline_Dumbbell_Flyes/0.jpg
43070d06-d058-4b6a-805a-5136f2e8b565,Crucifixo reto (halteres),peito,,halter|banco,1,push-h,treino,false,30,,ombro,Abra os braços até sentir alongamento e volte controlado,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Dumbbell_Flyes/0.jpg
e27823f7-a7ab-46b2-aafe-d69d12c9c584,Doorway pec stretch,peito,,,1,iso,mobilidade,false,20,,ombro,Segure a porta e empurre suavemente para abrir o peito,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/One_Arm_Against_Wall/0.jpg
86cfefb4-a972-403c-a898-22762fa4641d,Flexão arqueira,peito,,,2,push-h,treino,true,30,,ombro|punho,Desloque o peso para um lado e volte mantendo o tronco firme,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Pushups/0.jpg
dcb1cff7-d86e-4fef-823a-9a01f9d29c2a,Flexão de braço,peito,,,2,push-h,treino,true,30,,ombro|punho,Mantenha o corpo alinhado e desça até o peito quase tocar o chão,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Pushups/0.jpg
7d340931-ef70-4367-af44-b22b6ddebbdf,Flexão declinada,peito,,banco,2,push-h,treino,true,30,,ombro|punho,Coloque os pés no banco e faça a flexão mantendo o tronco reto,
ae97da67-24ce-4285-8ca0-68e96bea494d,Flexão diamante,peito,,,2,push-h,treino,true,30,,ombro|punho,Junte as mãos formando um diamante e faça a flexão,
58ae08af-6f79-47ea-85e1-991e3cc073ff,Flexão explosiva,peito,,,2,push-h,treino,true,30,,ombro|punho,Exploda ao subir impulsione o corpo para o ar,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Plyo_Push-up/0.jpg
029ad3e3-4e46-4255-a3a4-9c61bae3920b,Flexão inclinada,peito,,banco,2,push-h,treino,true,30,,ombro|punho,Coloque as mãos no banco e faça a flexão mantendo o corpo reto,
8618db44-b444-45ae-9551-6ec20f8be6e0,Flexão pegada larga,peito,,,2,push-h,treino,true,30,,ombro|punho,Abra bem as mãos e faça a flexão mantendo o peito aberto,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Pushups/0.jpg
a9ad08ae-75ce-4181-8989-d2f85f74ad57,Mergulho em paralelas,peito,,paralelas,2,push-v,treino,true,30,,ombro|punho,Desça até os cotovelos formarem ângulo de 90 graus e suba,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Dips_-_Chest_Version/0.jpg
05a4dd59-1da6-4ac4-a6b5-a9dd980576c3,Peck deck (máquina),peito,,mq-crucifixo,1,iso,treino,false,20,,ombro,Ajuste o assento segure as alças e una os braços contra a resistência,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Butterfly/0.jpg
2ad95840-e854-4fa4-ac6c-a52716ecf92b,Pullover (halter),peito,,halter|banco,1,pull-h,treino,false,30,,ombro|lombar,Deite no banco segure o halter e leve-o atrás da cabeça,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Straight-Arm_Dumbbell_Pullover/0.jpg
4882657a-5801-4676-b9c2-46f11f03b9be,Supino declinado (barra),peito,,barra|banco,2,push-h,treino,true,30,,ombro|lombar,Deite no banco declinado segure a barra e empurre para cima,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Decline_Barbell_Bench_Press/0.jpg
0e41ebd2-4328-4700-b0aa-2ea369e7c64f,Supino inclinado (barra),peito,triceps|ombros,barra|banco-incl,1,push-h,treino,true,30,,ombro|lombar,Desça a barra até o peito e empurre explosivamente,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Barbell_Incline_Bench_Press_-_Medium_Grip/0.jpg
4dcc05e6-50c5-4536-b3ad-9f3dee9821dd,Supino inclinado (halteres),peito,triceps|ombros,halter|banco-incl,1,push-h,treino,true,30,,ombro|lombar,Segure os halteres desça e empurre acima do peito,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Incline_Dumbbell_Press/0.jpg
e1e069de-b950-4ccb-b0f0-a4ee278a589c,Supino inclinado (máquina),peito,triceps|ombros,mq-supino,1,push-h,treino,true,30,,ombro,Ajuste o assento e empurre a barra da máquina,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Smith_Machine_Incline_Bench_Press/0.jpg
4b81e3e3-7cca-479f-8d44-06ef839ca12a,Supino reto (barra),peito,triceps|ombros,barra|banco,1,push-h,treino,true,30,,ombro,Deite no banco e empurre a barra para cima,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Barbell_Bench_Press_-_Medium_Grip/0.jpg
0d149281-09a8-4525-8dcc-df085acbfd31,Supino reto (halteres),peito,triceps|ombros,halter|banco,1,push-h,treino,true,30,,ombro,Segure halteres e empurre acima do peito no banco,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Dumbbell_Bench_Press/0.jpg
9a23be4c-d820-46a6-9ea0-264e98ce7256,Supino reto (máquina),peito,triceps|ombros,mq-supino,1,push-h,treino,true,30,,ombro,Use a máquina de supino e empurre a alavanca,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Smith_Machine_Bench_Press/0.jpg
c86a5d71-72ae-4dfb-b577-baaab469ae60,Wall chest stretch,peito,,,1,iso,mobilidade,false,20,,ombro,Encoste o peito na parede e abra os braços,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Behind_Head_Chest_Stretch/0.jpg
e86190b8-3500-4585-ae2a-4e68f3632267,Alongamento de panturrilha em pé,pernas,,,1,iso,mobilidade,false,30,,,Incline o tronco à frente  pressione o calcanhar contra a parede,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Standing_Gastrocnemius_Calf_Stretch/0.jpg
2c962fd7-4f8a-4572-92de-c9b3c208a803,Alongamento de posterior em pé,pernas,core,,1,iso,mobilidade,false,30,,lombar,Mantém a coluna reta e inclina o tronco à frente,
cf50599a-0121-4110-9ed8-2b7c4d47329b,Box jump,pernas,core,caixa,2,squat,treino,true,15,,joelho|lombar,Desce em meio agachamento e explode para cima,
1944a071-6b96-40b3-b70b-72fe405edbda,Burpee,pernas,core|ombros,,2,push-h,treino,true,30,,joelho|lombar|ombro|punho,Desce ao chão faz flexão e salta ao final,
a4522410-f807-477c-9408-e2bdfcb2950e,Burpee box jump-over,pernas,core|ombros,caixa,3,push-h,treino,true,30,,joelho|lombar|ombro|punho,Faz burpee e salta sobre a caixa sem pausa,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Front_Box_Jump/0.jpg
2f5ac705-d10d-4963-aac8-1dde03df344e,Butterfly stretch,pernas,core,,1,iso,mobilidade,false,30,,,Mantém as solas dos pés juntas e pressiona os joelhos para baixo,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Groin_and_Back_Stretch/0.jpg
4ddd0a1b-face-46e6-9454-50a81abf04d0,Clean and jerk (barra),pernas,ombros|core,barra,3,hinge,treino,true,40,,joelho|lombar|ombro|punho,Mantém a barra próxima ao corpo e explode para cima,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Clean_and_Jerk/0.jpg
8d0ef6dd-7711-4f7f-b8e5-bd66543d4e2b,Farmer walk,pernas,core|ombros,halter,2,lunge,treino,true,45,,lombar|ombro|punho|joelho,Mantém a postura ereta e anda com os halteres ao lado,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/Farmers_Walk/0.jpg
46a78010-76f4-4cea-afc2-d7781f3e398c,Foam roll adutor,pernas,,rolo,1,iso,mobilidade,false,30,,,Rola a parte interna da coxa lentamente,
a246a9ef-5097-464a-8ee2-c9b4960fd28a,Foam roll glúteo,gluteos,,rolo,1,iso,mobilidade,false,30,,,Rola o glúteo focando na área dolorida,
47b2a81d-6413-4670-b5f9-83015a8d231b,Foam roll panturrilha,pernas,,rolo,1,iso,mobilidade,false,30,,,Rola a panturrilha com o rolo sob a perna,
9b940540-5666-4820-9228-7915137cc803,Foam roll quadríceps,pernas,,rolo,1,iso,mobilidade,false,30,,,Rola o quadríceps com pressão moderada,
0d17c700-a0b1-4d61-a23a-6d8eafcc3323,Kettlebell swing,gluteos,core|pernas,kettlebell,2,hinge,treino,true,40,,lombar|ombro,Impulsiona o kettlebell usando o quadril,https://cdn.jsdelivr.net/gh/yuhonas/free-exercise-db@main/exercises/One-Arm_Kettlebell_Swings/0.jpg
30b0a5dc-e94c-4f6d-ac70-bcf1b9098acc,Kettlebell swing russo,gluteos,core|pernas,kettlebell,2,hinge,treino,true,40,,lombar|ombro,Mantém o kettlebell entre as pernas e impulsiona com o quadril,
