id,name,group_slug,equipment_text,is_compound,modality
4dc51e1d-9cfc-4805-9014-6413c7ca28ba,Alongamento de latíssimo (lat stretch),back,peso corporal,False,generico
97464486-fc4d-4744-b5fe-7c46bb22972d,Alongamento de trapézio,back,peso corporal,False,generico
8db2ff8f-6c21-4af4-a477-76feeb37017c,Barra australiana,back,peso corporal,True,calistenia
e311ef6d-def7-43b1-8b58-62b3fee0c5be,Barra fixa (pronada),back,peso corporal,True,musculacao
6024b41b-3514-47e1-b8f0-ec3bffa51324,Barra fixa (supinada),back,peso corporal,True,musculacao
5ed320f4-75c8-48cb-9f85-9567e42e15aa,Barra fixa fechada,back,peso corporal,True,calistenia
7aac607d-6556-4dd3-b6c5-6cfcd58d48c6,Barra fixa pegada larga,back,peso corporal,True,calistenia
2248610d-5290-4c28-b2a8-bfacd31f2c11,Barra fixa pronada,back,peso corporal,True,calistenia
91eb3dd3-0d68-40fa-b608-2b2d708ffd4d,Barra fixa supinada,back,peso corporal,True,calistenia
1067599f-8754-4e6c-8156-2044ef142d33,Child's pose,back,peso corporal,False,generico
fe9db795-997c-42d2-82b2-b669ad4e9f6f,Cobra (alongamento),back,peso corporal,False,generico
0e835e76-ee1d-4c9b-87d5-91fcd51c825d,Deadlift (CrossFit),back,barra,True,crossfit
ecdf45cd-c58e-4aec-89e7-6c12411c7dc6,Foam roll lombar,back,rolo,False,generico
8a6997bd-f1f2-4e2e-a944-f13b299f9e8b,Levantamento terra (barra),back,barra,True,musculacao
165305f0-bebb-4651-b702-0ea2c9d4bfbd,Muscle-up,back,peso corporal,True,calistenia
c05b13d4-6a0a-420a-844e-8a2f5b813874,Muscle-up nas argolas,back,argolas,True,crossfit
81b5bf7a-de72-4de4-a5b7-501196f01a41,Pull-down (pulley),back,cabo,False,musculacao
74fee36e-70c4-4620-a9d9-5b867ea16f4d,Puxada atrás (pulley),back,cabo,True,musculacao
e8db89fd-138c-4cfa-a44a-dd430a11dcdf,Puxada frontal (pulley),back,cabo,True,musculacao
54096b2b-0d3c-407f-bb6e-9bd195ebb8c3,Puxada triângulo (pulley),back,cabo,True,musculacao
4d01713b-3b01-4ebe-922c-aad62024c35b,REMADA BAIXA ABERTA,back,máquina,False,musculacao
de4a9988-978a-4d40-bc17-3a3855baa299,REMADA CURVADA PRON.,back,máquina,False,musculacao
565aef44-3008-4751-9bb0-6c50032ded5e,Remada baixa (pulley),back,cabo,True,musculacao
10ceb375-2807-43b5-8f8e-97707ae526c4,Remada cavalinho,back,barra,True,musculacao
916f5a08-b458-4bd0-8928-3f89554b7114,Remada curvada (barra),back,barra,True,musculacao
e4c4687c-a104-44ac-879b-b43d2640fcc5,Remada curvada (halteres),back,halter,True,musculacao
a8d8939a-b26e-4c4a-9b22-443a33a6eb21,Remada máquina,back,máquina,True,musculacao
5f525f4c-533e-43f9-ad99-52a6a3e91957,Remada unilateral (halter),back,halter,True,musculacao
4004783e-3364-4078-a7b9-44a314a082e6,Spinal twist deitado,back,peso corporal,False,generico
4097b6d4-1973-40f3-96bb-1f518ced7066,Spinal twist sentado,back,peso corporal,False,generico
ae0672c4-cf04-41f5-8217-b97861c530a5,Sumô deadlift high pull,back,barra,True,crossfit
0562ee41-978a-401d-b85f-1989a434bf40,Thread the needle,back,peso corporal,False,generico
7eba45bd-2a4d-462d-b232-c120822d23b5,Alongamento de antebraço (extensor),biceps,peso corporal,False,generico
8bc054ab-3020-4014-ae76-819038f04248,Alongamento de antebraço (flexor),biceps,peso corporal,False,generico
147c62bf-0f75-4602-a81a-3adc48504eeb,Alongamento de bíceps na parede,biceps,peso corporal,False,generico
06870368-7b0f-47ef-9fbc-f009505f6f62,ROSCA DIRETA POLIA,biceps,máquina,False,musculacao
fbb00793-d53d-48b3-bf24-79e7fadcbfea,Rosca 21 (barra),biceps,barra,False,musculacao
